dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
-12.48333333,0.523415184,32.91295397,-6.391949734,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI4,89,73,162
2.51666667,0.333523508,21.50185679,-1.84924175,Budburst_filtercubic_SoS_threshold_NDGI1,141,22,163
-9.48333333,0.476178458,31.88334037,-7.45142275,Budburst_cubic_SoS_threshold_NDVI3,102,65,167
-13.48333333,0.502611492,33.27441856,-7.811195738,Budburst_SoS_filterthreshold_NDPI3,96,76,172
-21.48333333,0.509650512,33.83656211,-6.343134659,Budburst_filtercubic_SoS_threshold_NDGI4,93,80,173
-12.48333333,0.37733637,27.50050972,-4.414306107,Budburst_filtercubic_SoS_threshold_DVI2,128,47,175
-21.48333333,0.561281137,37.35713799,-7.473255372,Budburst_SoS_filterdoublelogisticthreshold_NDVI4,76,99,175
4.51666667,0.448330099,31.93867356,-7.012202496,Budburst_SoS_doublelogisticthreshold_EVI1,110,66,176
-17.48333333,0.610595369,44.04264537,-14.63531277,Budburst_SoS_filterdoublelogisticthreshold_NDPI3,37,141,178
-23.48333333,0.581913726,39.97341855,-8.690584538,Budburst_filtercubic_SoS_threshold_NDPI4,60,119,179
-22.48333333,0.537215966,37.20958281,-8.282626931,Budburst_SoS_filterdoublelogisticthreshold_NDGI4,83,97,180
-2.48333333,0.388375342,30.98611843,-6.489231548,Budburst_SoS_doublelogisticthreshold_NDVI2,124,60,184
-17.48333333,0.535524062,37.46689328,-8.150772881,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI5,84,101,185
-25.48333333,0.572388134,40.24255565,-9.730319028,Budburst_mintomaxcubic_SoS_threshold_NDVI5,67,120,187
-31.48333333,0.594703457,42.76253715,-10.50371861,Budburst_SoS_filterthreshold_NDVI5,52,135,187
-25.48333333,0.579464706,41.38416024,-9.320848882,Budburst_SoS_filterdoublelogisticthreshold_EVI5,63,126,189
3.51666667,0.528626169,37.69878568,-9.689289233,Budburst_cubic_SoS_threshold_EVI13,88,102,190
2.51666667,0.399272492,32.3635812,-6.846490473,Budburst_mintomaxcubic_SoS_threshold_NDVI2,122,70,192
-12.48333333,0.579744534,42.2371955,-14.56810472,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI1,62,132,194
-7.48333333,0.316121599,28.33264714,-4.879887611,Budburst_SoS_filterthreshold_NDVI2,144,51,195
-7.48333333,0.397110696,33.2770351,-7.779333259,Budburst_SoS_filterthreshold_NDPI2,123,77,200
-18.48333333,0.428320276,34.69301015,-6.983301104,Budburst_filtercubic_SoS_threshold_DVI3,114,87,201
-24.48333333,0.605385843,48.76883823,-17.13723861,Budburst_SoS_filterdoublelogisticthreshold_NDPI4,43,158,201
3.51666667,0.297279702,28.88890087,-4.668027108,Budburst_SoS_filterthreshold_NDVI13,148,54,202
-28.48333333,0.578121684,43.61645367,-10.20832755,Budburst_filtercubic_SoS_threshold_EVI5,64,139,203
-20.48333333,0.573769111,44.39468994,-16.33827187,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI13,65,142,207
-28.48333333,0.540309195,42.082544,-10.40749565,Budburst_SoS_filterdoublelogisticthreshold_NDGI5,81,131,212
4.51666667,0.295856559,31.50294589,-6.250987284,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI1,151,63,214
-27.48333333,0.559460103,43.07537146,-10.05171789,Budburst_SoS_filterdoublelogisticthreshold_NDVI5,77,137,214
-9.48333333,0.281375153,30.12284529,-5.367274609,Budburst_SoS_filterdoublelogisticthreshold_DVI1,158,57,215
-30.48333333,0.600867269,53.31073014,-19.69647809,Budburst_SoS_filterdoublelogisticthreshold_NDPI5,47,168,215
2.51666667,0.381786417,34.98534188,-8.698608548,Budburst_SoS_doublelogisticthreshold_NDVI13,127,89,216
-24.48333333,0.49971487,39.95699439,-10.76642534,Budburst_SoS_filterthreshold_NDPI4,98,118,216
-26.48333333,0.570329256,46.63711156,-17.94883193,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI2,68,152,220
-19.48333333,0.419498418,38.40233021,-10.07708795,Budburst_mintomaxcubic_SoS_threshold_NDGI5,118,106,224
-4.48333333,0.474788807,40.37774729,-12.76325292,Budburst_mintomaxcubic_SoS_threshold_NDPI2,103,122,225
8.51666667,0.278568709,31.96453718,-5.438185215,Budburst_SoS_filterthreshold_NDVI1,161,67,228
-35.48333333,0.566079652,50.94205948,-20.88433243,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI3,69,163,232
-31.48333333,0.404675884,39.80066997,-9.757806096,Budburst_SoS_filterthreshold_NDGI5,119,116,235
-29.48333333,0.490319068,42.82613334,-10.04392237,Budburst_filtercubic_SoS_threshold_NDGI5,99,136,235
-1.48333333,0.297429699,35.46736174,-7.885462673,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI13,147,90,237
-28.48333333,0.51494991,45.25149803,-11.04673724,Budburst_filtercubic_SoS_threshold_NDVI5,92,146,238
-31.48333333,0.531080039,47.08272715,-13.92323168,Budburst_SoS_filterthreshold_NDPI5,85,154,239
1.51666667,0.429149201,41.61123999,-12.85741478,Budburst_mintomaxcubic_SoS_threshold_NDPI13,113,127,240
-15.48333333,0.282896377,34.45013884,-7.027232189,Budburst_SoS_filterdoublelogisticthreshold_DVI13,155,86,241
-12.48333333,0.330882401,37.42134778,-10.04335304,Budburst_mintomaxcubic_SoS_threshold_NDGI4,142,100,242
8.51666667,0.421306423,41.97727564,-12.41727644,Budburst_mintomaxcubic_SoS_threshold_NDPI1,116,130,246
-42.48333333,0.561958182,54.94088817,-23.60637305,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI4,74,175,249
-14.48333333,0.267931386,33.46455388,-7.406040279,Budburst_SoS_filterthreshold_NDGI3,172,78,250
-15.48333333,0.282907478,36.74199863,-9.138506525,Budburst_SoS_filterthreshold_NDGI4,154,96,250
11.51666667,0.334762247,39.34553883,-9.357529982,Budburst_mintomaxcubic_SoS_threshold_NDVI13,140,112,252
10.51666667,0.464467042,46.5337878,-13.26468555,Budburst_cubic_SoS_threshold_EVI1,106,151,257
-30.48333333,0.490177392,48.96440707,-13.13567646,Budburst_filtercubic_SoS_threshold_NDPI5,100,159,259
-20.48333333,0.282955352,38.41504289,-8.693304274,Budburst_SoS_filterdoublelogisticthreshold_DVI2,153,107,260
-5.48333333,0.296990745,39.09093596,-9.453598994,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI2,149,111,260
-13.48333333,0.448515299,46.69863173,-16.78734719,Budburst_mintomaxcubic_SoS_threshold_NDPI3,109,153,262
-49.48333333,0.557036496,58.96037622,-26.40575242,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI5,78,186,264
-7.48333333,0.241963565,33.80859302,-6.85515479,Budburst_SoS_filterthreshold_NDGI2,187,79,266
-10.48333333,0.276532977,37.82029772,-9.731187068,Budburst_SoS_filterthreshold_DVI2,164,103,267
-26.48333333,0.386027151,44.87882728,-11.33161321,Budburst_filtercubic_SoS_threshold_DVI4,125,144,269
2.51666667,0.254027428,36.18144235,-7.684575356,Budburst_SoS_filterthreshold_NDPI13,177,93,270
9.51666667,0.349761761,43.30680084,-12.84662852,Budburst_SoS_doublelogisticthreshold_NDVI1,137,138,275
-19.48333333,0.302870937,42.36141654,-13.14473101,Budburst_cubic_SoS_threshold_NDGI5,145,134,279
-21.48333333,0.426699481,51.607464,-19.62283805,Budburst_mintomaxcubic_SoS_threshold_NDPI4,115,165,280
-14.48333333,0.278476964,40.41447441,-11.70334189,Budburst_SoS_filterthreshold_DVI3,162,123,285
-21.48333333,0.421157649,55.32341105,-24.41467055,Budburst_cubic_SoS_threshold_NDPI4,117,176,293
23.51666667,0.299775797,46.23128778,-12.08692892,Budburst_mintomaxcubic_SoS_threshold_NDVI1,146,149,295
-12.48333333,0.296437261,45.37479398,-12.45810254,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI3,150,147,297
-25.48333333,0.339580315,50.00859715,-17.1715608,Budburst_cubic_SoS_threshold_DVI5,138,162,300
-32.48333333,0.371583448,53.77494451,-18.0571202,Budburst_SoS_filterthreshold_DVI5,130,170,300
-12.48333333,0.267190158,41.74096665,-12.2558821,Budburst_SoS_doublelogisticthreshold_NDGI4,173,128,301
-28.48333333,0.282150155,45.107971,-11.84606679,Budburst_SoS_filterdoublelogisticthreshold_DVI3,157,145,302
-27.48333333,0.431004527,59.85053829,-28.71388072,Budburst_SoS_doublelogisticthreshold_NDPI4,112,190,302
6.51666667,0.21745792,39.55037212,-8.556157314,Budburst_SoS_filterthreshold_NDPI1,192,113,305
-13.48333333,0.367629286,54.71499415,-23.25324907,Budburst_cubic_SoS_threshold_NDPI3,131,174,305
-6.48333333,0.251614505,41.76390984,-12.53712129,Budburst_SoS_doublelogisticthreshold_NDGI3,178,129,307
-38.48333333,0.43538918,61.69303151,-29.79061228,Budburst_SoS_doublelogisticthreshold_NDPI5,111,197,308
3.51666667,0.154712798,36.29085818,-7.111176274,Budburst_SoS_filterthreshold_NDGI13,215,94,309
-31.48333333,0.27901963,46.28668986,-14.94563291,Budburst_SoS_filterthreshold_DVI4,160,150,310
-28.48333333,0.399387423,59.34781585,-27.01147226,Budburst_cubic_SoS_threshold_NDPI5,121,189,310
-17.48333333,0.271280596,43.92963692,-13.09458521,Budburst_SoS_doublelogisticthreshold_NDGI5,171,140,311
-28.48333333,0.383785191,57.77083096,-23.46167751,Budburst_mintomaxcubic_SoS_threshold_NDPI5,126,185,311
-8.48333333,0.218828374,40.27156094,-9.965315584,Budburst_SoS_filterthreshold_DVI13,191,121,312
3.51666667,0.226474316,41.11718752,-9.450168359,Budburst_SoS_filterthreshold_DVI1,188,125,313
2.51666667,0.258294186,44.79119474,-12.71173961,Budburst_cubic_SoS_threshold_NDVI2,175,143,318
-34.48333333,0.282504478,50.98528747,-15.02163973,Budburst_SoS_filterdoublelogisticthreshold_DVI4,156,164,320
-37.48333333,0.326817984,55.4777672,-17.09916192,Budburst_filtercubic_SoS_threshold_DVI5,143,177,320
0.51666667,0.212436992,41.00659297,-11.2813126,Budburst_mintomaxcubic_SoS_threshold_NDGI3,200,124,324
-18.48333333,0.291376978,54.69984781,-20.8117482,Budburst_SoS_doublelogisticthreshold_DVI4,152,173,325
97.51666667,0.351591696,60.13785807,-27.66558325,Budburst_SoS_doublelogisticthreshold_NDPI2,136,192,328
97.51666667,0.363934841,61.33583687,-27.69021477,Budburst_SoS_doublelogisticthreshold_NDPI13,133,196,329
-7.48333333,0.357388734,60.6475126,-29.05556706,Budburst_SoS_doublelogisticthreshold_NDPI3,135,195,330
-16.48333333,0.26170241,48.67055834,-17.72148299,Budburst_cubic_SoS_threshold_DVI4,174,157,331
97.51666667,0.33757668,64.7763035,-28.7638489,Budburst_SoS_doublelogisticthreshold_NDPI1,139,199,338
-40.48333333,0.281034254,56.44898487,-18.30084547,Budburst_SoS_filterdoublelogisticthreshold_DVI5,159,180,339
8.51666667,0.11562671,39.93582712,-8.489557241,Budburst_SoS_filterthreshold_NDGI1,226,117,343
-23.48333333,0.277680765,57.08369057,-20.63462668,Budburst_SoS_doublelogisticthreshold_DVI5,163,182,345
-18.48333333,0.251466761,52.28289354,-16.17976414,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI4,179,167,346
-12.48333333,0.255732999,56.02675522,-23.70954014,Budburst_SoS_doublelogisticthreshold_DVI3,176,178,354
0.51666667,0.188104944,47.83956753,-16.01642039,Budburst_SoS_doublelogisticthreshold_NDGI2,202,156,358
23.51666667,0.171113144,45.71628535,-12.47805829,Budburst_mintomaxcubic_SoS_threshold_NDGI2,213,148,361
11.51666667,0.223254239,56.89455653,-20.98088765,Budburst_SoS_doublelogisticthreshold_NDGI1,189,181,370
-23.48333333,0.247613183,57.70982816,-19.51171132,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI5,186,184,370
53.51666667,0.152785066,47.78920818,-13.09145238,Budburst_mintomaxcubic_SoS_threshold_NDGI13,216,155,371
-12.48333333,0.175613511,48.98509283,-16.57369872,Budburst_cubic_SoS_threshold_NDGI4,211,160,371
5.51666667,0.173975047,49.8409732,-16.71140497,Budburst_SoS_doublelogisticthreshold_NDGI13,212,161,373
-16.48333333,0.184420339,53.99003959,-20.63704881,Budburst_mintomaxcubic_SoS_threshold_DVI4,203,171,374
-5.48333333,0.21583571,59.13118724,-26.4366659,Budburst_SoS_doublelogisticthreshold_DVI2,193,188,381
-129.4833333,0.272395481,106.8807205,-63.40141279,Budburst_SoS_mintomaxthreshold_NDVI1,165,217,382
-129.4833333,0.272395481,106.8807205,-63.40141279,Budburst_SoS_mintomaxthreshold_NDVI13,166,218,384
-129.4833333,0.272395481,106.8807205,-63.40141279,Budburst_SoS_mintomaxthreshold_NDVI2,167,219,386
-129.4833333,0.272395481,106.8807205,-63.40141279,Budburst_SoS_mintomaxthreshold_NDVI3,168,220,388
57.51666667,0.127935181,52.19661931,-15.22323092,Budburst_mintomaxcubic_SoS_threshold_NDGI1,224,166,390
4.51666667,0.221655603,64.91465748,-29.77423181,Budburst_SoS_doublelogisticthreshold_DVI1,190,200,390
-129.4833333,0.272395481,106.8807205,-63.40141279,Budburst_SoS_mintomaxthreshold_NDVI4,169,221,390
-6.48333333,0.141262684,53.40620234,-20.96443602,Budburst_mintomaxcubic_SoS_threshold_DVI3,223,169,392
-1.48333333,0.197572641,60.06487802,-26.65863432,Budburst_SoS_doublelogisticthreshold_DVI13,201,191,392
-129.4833333,0.272395481,106.8807205,-63.40141279,Budburst_SoS_mintomaxthreshold_NDVI5,170,222,392
11.51666667,0.164880338,56.30356349,-18.64457281,Budburst_cubic_SoS_threshold_NDVI13,214,179,393
22.51666667,0.111869424,54.65975868,-21.08790057,Budburst_mintomaxcubic_SoS_threshold_DVI2,227,172,399
-131.4833333,0.251243139,107.9721383,-64.71450941,Budburst_SoS_mintomaxthreshold_NDGI1,180,223,403
-25.48333333,0.179128928,60.32971886,-23.36487612,Budburst_mintomaxcubic_SoS_threshold_DVI5,210,194,404
-129.4833333,0.212834165,101.5842724,-57.22025643,Budburst_SoS_mintomaxthreshold_EVI1,194,211,405
-131.4833333,0.251243139,107.9721383,-64.71450941,Budburst_SoS_mintomaxthreshold_NDGI13,181,224,405
-129.4833333,0.212834165,101.5842724,-57.22025643,Budburst_SoS_mintomaxthreshold_EVI13,195,212,407
-131.4833333,0.251243139,107.9721383,-64.71450941,Budburst_SoS_mintomaxthreshold_NDGI2,182,225,407
-129.4833333,0.212834165,101.5842724,-57.22025643,Budburst_SoS_mintomaxthreshold_EVI2,196,213,409
-131.4833333,0.251243139,107.9721383,-64.71450941,Budburst_SoS_mintomaxthreshold_NDGI3,183,226,409
-129.4833333,0.212834165,101.5842724,-57.22025643,Budburst_SoS_mintomaxthreshold_EVI3,197,214,411
-131.4833333,0.251243139,107.9721383,-64.71450941,Budburst_SoS_mintomaxthreshold_NDGI4,184,227,411
53.51666667,0.086474266,57.20671625,-21.93091376,Budburst_mintomaxcubic_SoS_threshold_DVI13,230,183,413
-129.4833333,0.212834165,101.5842724,-57.22025643,Budburst_SoS_mintomaxthreshold_EVI4,198,215,413
-131.4833333,0.251243139,107.9721383,-64.71450941,Budburst_SoS_mintomaxthreshold_NDGI5,185,228,413
-129.4833333,0.212834165,101.5842724,-57.22025643,Budburst_SoS_mintomaxthreshold_EVI5,199,216,415
57.51666667,0.069248372,59.05041513,-22.43758255,Budburst_mintomaxcubic_SoS_threshold_DVI1,231,187,418
-4.48333333,0.119328584,67.2006971,-29.27034674,Budburst_cubic_SoS_threshold_NDPI2,225,201,426
-6.48333333,0.099999126,61.70774097,-24.43786228,Budburst_cubic_SoS_threshold_DVI3,229,198,427
0.51666667,0.023281067,60.20413929,-22.31214501,Budburst_cubic_SoS_threshold_NDGI3,236,193,429
23.51666667,0.10377741,67.72418752,-25.87408488,Budburst_cubic_SoS_threshold_NDVI1,228,202,430
-130.4833333,0.18035774,118.3323395,-90.03674449,Budburst_SoS_mintomaxthreshold_NDPI1,204,229,433
-130.4833333,0.18035774,118.3323395,-90.03674449,Budburst_SoS_mintomaxthreshold_NDPI13,205,230,435
-130.4833333,0.18035774,118.3323395,-90.03674449,Budburst_SoS_mintomaxthreshold_NDPI2,206,231,437
82.51666667,0.049887107,73.11247052,-31.72728473,Budburst_cubic_SoS_threshold_NDPI13,233,205,438
53.51666667,0.062938053,78.04496962,-34.03288004,Budburst_cubic_SoS_threshold_DVI13,232,207,439
-130.4833333,0.18035774,118.3323395,-90.03674449,Budburst_SoS_mintomaxthreshold_NDPI3,207,232,439
23.51666667,-0.000721352,71.10188025,-28.8936149,Budburst_cubic_SoS_threshold_NDGI2,238,203,441
22.51666667,0.018566206,71.93634914,-29.79902204,Budburst_cubic_SoS_threshold_DVI2,237,204,441
53.51666667,0.029089531,76.30315143,-32.62908485,Budburst_cubic_SoS_threshold_NDGI13,235,206,441
-130.4833333,0.18035774,118.3323395,-90.03674449,Budburst_SoS_mintomaxthreshold_NDPI4,208,233,441
-130.4833333,0.18035774,118.3323395,-90.03674449,Budburst_SoS_mintomaxthreshold_NDPI5,209,234,443
57.51666667,0.035532623,85.66890402,-40.56494561,Budburst_cubic_SoS_threshold_DVI1,234,210,444
82.51666667,-0.095635814,81.07661549,-37.32033264,Budburst_cubic_SoS_threshold_NDPI1,239,208,447
57.51666667,-0.117124331,84.88378033,-39.89046514,Budburst_cubic_SoS_threshold_NDGI1,240,209,449
-164.4833333,0.147090462,138.2384441,-107.6107721,Budburst_SoS_mintomaxthreshold_DVI1,217,235,452
-164.4833333,0.147090462,138.2384441,-107.6107721,Budburst_SoS_mintomaxthreshold_DVI13,218,236,454
-164.4833333,0.147090462,138.2384441,-107.6107721,Budburst_SoS_mintomaxthreshold_DVI2,219,237,456
-164.4833333,0.147090462,138.2384441,-107.6107721,Budburst_SoS_mintomaxthreshold_DVI3,220,238,458
-164.4833333,0.147090462,138.2384441,-107.6107721,Budburst_SoS_mintomaxthreshold_DVI4,221,239,460
-164.4833333,0.147090462,138.2384441,-107.6107721,Budburst_SoS_mintomaxthreshold_DVI5,222,240,462
