dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
10.5,0.474017349,30.9479422,-7.471034515,Budburst_cubic_SoS_threshold_NDVI3,99,63,162
22.5,0.349666482,23.56635686,-3.234389648,Budburst_filtercubic_SoS_threshold_DVI13,135,29,164
-38.5,0.633022223,41.88495985,-10.48066202,Budburst_SoS_filterthreshold_EVI5,28,136,164
28.5,0.323173454,21.6494332,-2.075548902,Budburst_filtercubic_SoS_threshold_NDGI1,142,23,165
-3.5,0.449922334,30.89749792,-7.014846557,Budburst_SoS_doublelogisticthreshold_EVI1,105,62,167
-15.5,0.546416883,36.30100262,-7.534695226,Budburst_SoS_filterdoublelogisticthreshold_NDVI4,74,98,172
46.5,0.485820494,33.226613,-8.34239392,Budburst_SoS_filterthreshold_NDPI3,94,80,174
21.5,0.359368636,26.9841207,-4.614203047,Budburst_filtercubic_SoS_threshold_DVI2,129,47,176
-34.5,0.610923404,43.14494697,-14.81630285,Budburst_SoS_filterdoublelogisticthreshold_NDPI3,36,141,177
14.5,0.47273087,32.89556854,-6.535050063,Budburst_filtercubic_SoS_threshold_NDGI4,100,78,178
-36.5,0.579142728,39.3788148,-8.985938365,Budburst_filtercubic_SoS_threshold_NDPI4,60,120,180
6.5,0.384805969,30.03230395,-6.49828572,Budburst_SoS_doublelogisticthreshold_NDVI2,121,60,181
16.5,0.529126903,36.64655773,-9.738182086,Budburst_cubic_SoS_threshold_EVI13,81,100,181
0.5,0.516106936,36.27075417,-8.223921348,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI5,85,97,182
7.5,0.514153301,36.04890706,-8.41627939,Budburst_SoS_filterdoublelogisticthreshold_NDGI4,86,96,182
-29.5,0.590954573,41.84434769,-10.69651076,Budburst_SoS_filterthreshold_NDVI5,50,135,185
18.5,0.398254034,31.54598697,-6.901406861,Budburst_mintomaxcubic_SoS_threshold_NDVI2,120,68,188
-27.5,0.570655006,39.40380888,-9.896674092,Budburst_mintomaxcubic_SoS_threshold_NDVI5,68,121,189
-14.5,0.580312108,40.92120123,-14.61506212,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI1,58,131,189
-38.5,0.579608234,41.03483664,-9.763135929,Budburst_SoS_filterdoublelogisticthreshold_EVI5,59,132,191
17.5,0.312261117,27.68267719,-4.956552991,Budburst_SoS_filterthreshold_NDVI2,143,51,194
-41.5,0.605711294,47.92591754,-17.43349328,Budburst_SoS_filterdoublelogisticthreshold_NDPI4,37,159,196
19.5,0.29631954,28.25796703,-4.751291737,Budburst_SoS_filterthreshold_NDVI13,146,54,200
18.5,0.400557486,33.77729394,-7.218437539,Budburst_filtercubic_SoS_threshold_DVI3,119,84,203
-38.5,0.576461906,43.15167127,-10.65953678,Budburst_filtercubic_SoS_threshold_EVI5,62,142,204
-22.5,0.574361169,43.13209737,-16.42974108,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI13,64,140,204
-35.5,0.500501761,39.32295704,-11.00609388,Budburst_SoS_filterthreshold_NDPI4,91,117,208
-47.5,0.601172042,52.51554219,-20.12573463,Budburst_SoS_filterdoublelogisticthreshold_NDPI5,40,171,211
13.5,0.379863622,33.99550718,-8.724394561,Budburst_SoS_doublelogisticthreshold_NDVI13,125,87,212
-23.5,0.546145702,41.98961559,-10.18984539,Budburst_SoS_filterdoublelogisticthreshold_NDVI5,75,137,212
-0.5,0.519355149,40.72906321,-10.49992499,Budburst_SoS_filterdoublelogisticthreshold_NDGI5,84,128,212
57.5,0.369641244,34.27031243,-8.81185469,Budburst_SoS_filterthreshold_NDPI2,126,88,214
25.5,0.279482062,31.26458644,-5.549847381,Budburst_SoS_filterthreshold_NDVI1,149,66,215
30.5,0.276048224,31.2407381,-6.676603981,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI1,153,65,218
-27.5,0.57097409,45.41146636,-18.07773346,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI2,67,152,219
-26.5,0.475345165,39.40691004,-12.98074512,Budburst_mintomaxcubic_SoS_threshold_NDPI2,98,122,220
9.5,0.409963638,37.23362432,-10.17376442,Budburst_mintomaxcubic_SoS_threshold_NDGI5,117,104,221
32.5,0.257536274,29.95489959,-5.821484628,Budburst_SoS_filterdoublelogisticthreshold_DVI1,174,58,232
-36.5,0.566725033,49.80646322,-21.11566355,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI3,69,164,233
-38.5,0.53061917,46.29283562,-14.23659206,Budburst_SoS_filterthreshold_NDPI5,80,154,234
18.5,0.264150968,32.61859379,-7.483078868,Budburst_SoS_filterthreshold_NDGI3,160,75,235
13.5,0.384442622,38.62609684,-9.967340269,Budburst_SoS_filterthreshold_NDGI5,123,112,235
-28.5,0.502202132,44.19666106,-11.23999417,Budburst_filtercubic_SoS_threshold_NDVI5,90,147,237
-23.5,0.429290625,40.50080367,-13.12563875,Budburst_mintomaxcubic_SoS_threshold_NDPI13,112,126,238
25.5,0.277567848,34.76106225,-8.244893536,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI13,150,90,240
15.5,0.326729811,36.35581272,-10.09726263,Budburst_mintomaxcubic_SoS_threshold_NDGI4,141,99,240
5.5,0.44495466,41.48608371,-10.18551498,Budburst_filtercubic_SoS_threshold_NDGI5,108,134,242
-20.5,0.420885505,40.77212624,-12.68368658,Budburst_mintomaxcubic_SoS_threshold_NDPI1,116,130,246
-43.5,0.562626502,53.87256642,-23.94445044,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI4,71,175,246
14.5,0.274997238,35.72838347,-9.25829124,Budburst_SoS_filterthreshold_NDGI4,155,95,250
21.5,0.336107691,38.32301908,-9.448003454,Budburst_mintomaxcubic_SoS_threshold_NDVI13,139,111,250
30.5,0.46502642,45.30828569,-13.40466008,Budburst_cubic_SoS_threshold_EVI1,102,151,253
19.5,0.275140858,36.81316626,-9.786182185,Budburst_SoS_filterthreshold_DVI2,154,101,255
26.5,0.259043312,33.79772425,-7.404839783,Budburst_SoS_filterdoublelogisticthreshold_DVI13,171,85,256
-40.5,0.48511714,48.13213873,-13.52668244,Budburst_filtercubic_SoS_threshold_NDPI5,96,160,256
-31.5,0.44970367,45.62522947,-16.97760471,Budburst_mintomaxcubic_SoS_threshold_NDPI3,106,153,259
-50.5,0.5577214,57.96342677,-26.87486826,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI5,72,188,260
21.5,0.277150107,38.09755437,-9.768394106,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI2,151,110,261
21.5,0.241675183,32.99503665,-6.936299141,Budburst_SoS_filterthreshold_NDGI2,184,79,263
17.5,0.273397951,39.28102515,-11.78963048,Budburst_SoS_filterthreshold_DVI3,156,116,272
23.5,0.259192929,37.4534785,-9.018303716,Budburst_SoS_filterdoublelogisticthreshold_DVI2,170,105,275
22.5,0.349418533,42.21281993,-12.93653668,Budburst_SoS_doublelogisticthreshold_NDVI1,137,138,275
15.5,0.350345821,43.52030592,-11.56216616,Budburst_filtercubic_SoS_threshold_DVI4,134,144,278
9.5,0.300362095,41.0561751,-13.15961314,Budburst_cubic_SoS_threshold_NDGI5,145,133,278
-36.5,0.427748514,50.4802424,-19.84741514,Budburst_mintomaxcubic_SoS_threshold_NDPI4,113,165,278
9.5,0.262534291,40.43982459,-12.28655805,Budburst_SoS_doublelogisticthreshold_NDGI4,161,124,285
