dif,R,RMSE,KGE,name,,,,
-17.5,0.600480005,29.86629431,-6.222256481,Budburst_cubic_SoS_threshold_NDVI4,41,57,63,161
10.5,0.495868107,28.87870871,-6.274291202,Budburst_mintomaxcubic_SoS_threshold_NDVI3,92,56,64,212
-13.5,0.562676094,28.57706774,-6.37775189,Budburst_cubic_SoS_threshold_EVI2,70,55,65,190
8.5,0.502693945,31.9051104,-6.497911199,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI4,89,70,66,225
6.5,0.384805969,30.03230395,-6.49828572,Budburst_SoS_doublelogisticthreshold_NDVI2,121,60,67,248
14.5,0.47273087,32.89556854,-6.535050063,Budburst_filtercubic_SoS_threshold_NDGI4,100,78,68,246
-12.5,0.595765561,33.41912111,-6.637855141,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI4,46,82,69,197
16.5,0.504735418,31.5079207,-6.641555616,Budburst_SoS_filterdoublelogisticthreshold_NDGI3,88,67,70,225
30.5,0.276048224,31.2407381,-6.676603981,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI1,153,65,71,289
-34.5,0.652977228,34.43539431,-6.701416131,Budburst_filtercubic_SoS_threshold_EVI4,18,89,72,179
18.5,0.398254034,31.54598697,-6.901406861,Budburst_mintomaxcubic_SoS_threshold_NDVI2,120,68,73,261
21.5,0.241675183,32.99503665,-6.936299141,Budburst_SoS_filterthreshold_NDGI2,184,79,74,337
-32.5,0.651895864,32.0512649,-6.946166144,Budburst_cubic_SoS_threshold_EVI4,19,72,75,166
-18.5,0.576011678,34.98458176,-7.003479079,Budburst_filtercubic_SoS_threshold_NDVI4,63,91,76,230
-3.5,0.449922334,30.89749792,-7.014846557,Budburst_SoS_doublelogisticthreshold_EVI1,105,62,77,244
30.5,0.572147956,33.26332092,-7.050325905,Budburst_mintomaxcubic_SoS_threshold_EVI1,66,81,78,225
-17.5,0.587410844,32.02401624,-7.074685095,Budburst_mintomaxcubic_SoS_threshold_NDVI4,52,71,79,202
-19.5,0.597348378,33.55033726,-7.147827957,Budburst_SoS_filterthreshold_NDVI4,45,83,80,208
-32.5,0.648641296,32.68844843,-7.186897957,Budburst_mintomaxcubic_SoS_threshold_EVI4,22,76,81,179
18.5,0.400557486,33.77729394,-7.218437539,Budburst_filtercubic_SoS_threshold_DVI3,119,84,82,285
28.5,0.156867792,35.43739888,-7.233871446,Budburst_SoS_filterthreshold_NDGI13,215,93,83,391
-34.5,0.673264952,33.94286799,-7.236348935,Budburst_SoS_filterthreshold_EVI4,14,86,84,184
-32.5,0.581670878,35.68735393,-7.323239741,Budburst_SoS_filterdoublelogisticthreshold_EVI4,57,94,85,236
26.5,0.259043312,33.79772425,-7.404839783,Budburst_SoS_filterdoublelogisticthreshold_DVI13,171,85,86,342
10.5,0.474017349,30.9479422,-7.471034515,Budburst_cubic_SoS_threshold_NDVI3,99,63,87,249
18.5,0.264150968,32.61859379,-7.483078868,Budburst_SoS_filterthreshold_NDGI3,160,75,88,323
-15.5,0.546416883,36.30100262,-7.534695226,Budburst_SoS_filterdoublelogisticthreshold_NDVI4,74,98,89,261
-37.5,0.6815932,37.07549728,-8.00245097,Budburst_SoS_doublelogisticthreshold_EVI5,9,102,90,201
-37.5,0.67589483,37.58958123,-8.209412015,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI5,13,106,91,210
0.5,0.516106936,36.27075417,-8.223921348,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI5,85,97,92,274
25.5,0.277567848,34.76106225,-8.244893536,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI13,150,90,93,333
46.5,0.485820494,33.226613,-8.34239392,Budburst_SoS_filterthreshold_NDPI3,94,80,94,268
7.5,0.514153301,36.04890706,-8.41627939,Budburst_SoS_filterdoublelogisticthreshold_NDGI4,86,96,95,277
-20.5,0.601818642,37.84943941,-8.5019357,Budburst_SoS_doublelogisticthreshold_NDVI5,39,108,96,243
30.5,0.119668274,38.97111607,-8.631785464,Budburst_SoS_filterthreshold_NDGI1,225,115,97,437
13.5,0.379863622,33.99550718,-8.724394561,Budburst_SoS_doublelogisticthreshold_NDVI13,125,87,98,310
57.5,0.369641244,34.27031243,-8.81185469,Budburst_SoS_filterthreshold_NDPI2,126,88,99,313
-27.5,0.592040781,37.21902762,-8.837543511,Budburst_cubic_SoS_threshold_NDVI5,49,103,100,252
57.5,0.23362069,37.6948711,-8.890092864,Budburst_SoS_filterthreshold_NDPI13,185,107,101,393
-20.5,0.598822742,38.76115118,-8.903549065,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI5,42,114,102,258
