dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
2.9,-0.385654883,23.54190144,0.000594543,Budburstfilter_cubic_SoS_threshold_NDGI2,12.50711837,210,101,57,368
-16.1,-0.071324722,22.24821645,-0.516860183,Budburstdoublelogistic_SoS_threshold_NDVI5,-16.90028904,163,95,110,368
5.9,-0.571390889,24.491014,0.421475405,Budburstfilterdoublelogistic_SoS_threshold_NDGI13,5.729340593,240,112,18,370
-4.1,-0.46781734,22.18256134,0.045956372,Budburstfilterdoublelogistic_SoS_threshold_NDVI3,-11.1595483,221,94,56,371
-4.1,0.508162046,24.42968783,-2.09402409,BudburstmintomaxSoS_threshold_NDGI13,12.136748,73,110,193,376
-6.1,-0.080411567,24.0587232,-0.531190978,Budburstfilterdoublelogistic_SoS_threshold_NDPI3,-18.23362237,165,102,111,378
-4.1,0.432909369,21.81250151,-1.767658931,BudburstmintomaxSoS_threshold_NDGI2,1.136748001,107,86,186,379
-7.1,0.107684699,24.69283545,-0.721580839,Budburstmintomaxdoublelogistic_SoS_threshold_EVI4,-20.38177052,148,115,122,385
-13.1,-0.585336458,25.36154148,0.325957029,Budburstdoublelogistic_SoS_threshold_NDGI4,-2.641029777,245,123,28,396
21.9,0.587819488,29.75655435,-2.391900684,BudburstfilterSoS_threshold_NDGI1,22.09971096,39,157,200,396
-4.1,0.471107335,23.25113156,-2.467737153,BudburstfilterSoS_threshold_PPI2,2.618229482,95,99,202,396
-5.1,0.297986566,25.59094419,-0.958500105,BudburstSoS_threshold_PPI4,-16.27065941,127,126,144,397
14.9,-0.153061633,24.43317101,-0.559973417,Budburstfilter_cubic_SoS_threshold_NDVI1,18.47008133,175,111,112,398
-12.1,0.292377241,25.90982989,-0.976183115,BudburstfilterSoS_threshold_PPI4,-16.71510385,128,127,145,400
20.9,-0.30720594,23.32292756,-0.464388359,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI1,16.65526652,197,100,105,402
1.9,0.133237506,24.42848203,-1.283048237,Budburstmintomaxcubic_SoS_threshold_NDVI3,-3.937326073,144,109,156,409
-5.1,-0.566990639,25.91529736,0.154037865,Budburstfilterdoublelogistic_SoS_threshold_NDGI3,-8.641029777,237,128,46,411
-6.1,-0.491651381,24.26955689,-0.204192492,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI4,-14.5669557,224,108,79,411
-24.1,-0.010480969,25.49102442,-0.745151715,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI3,-20.75214089,156,125,131,412
-4.1,0.568594921,30.95790982,-2.628685388,BudburstfilterSoS_threshold_PPI1,22.87748874,49,163,204,416
-18.1,-0.568461307,25.94890591,0.124428131,Budburstdoublelogistic_SoS_threshold_NDGI5,-9.752140888,238,129,50,417
-1.1,-0.51167159,25.44942314,-0.097059529,Budburstfilter_cubic_SoS_threshold_PPI2,13.8404517,231,124,70,425
4.9,-0.634880948,26.34776435,0.191738969,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI3,1.39600726,251,132,43,426
-33.1,0.473998807,32.03882834,-1.595948211,BudburstSoS_threshold_NDPI5,-26.82621496,91,171,165,427
-33.1,0.493238607,32.08961146,-1.605324865,BudburstSoS_threshold_EVI4,-27.08547422,80,175,172,427
-5.1,0.377972357,24.72912597,-2.023178845,BudburstfilterSoS_threshold_PPI3,-9.122511259,118,118,191,427
-33.1,0.485878299,31.39930764,-1.669131877,BudburstSoS_threshold_NDGI4,-25.67806681,82,164,182,428
-33.1,0.487704216,32.27136444,-1.603602989,BudburstfilterSoS_threshold_EVI4,-27.30769644,81,180,168,429
-33.1,0.473998807,32.03882834,-1.595948211,BudburstfilterSoS_threshold_NDPI5,-26.82621496,92,172,166,430
-33.1,0.47549865,32.07437098,-1.603802382,BudburstmintomaxSoS_threshold_NDPI5,-26.863252,89,174,169,432
-33.1,0.477518283,32.06147312,-1.604634019,BudburstSoS_threshold_NDVI5,-26.863252,88,173,171,432
-33.1,0.485186853,31.47180856,-1.675974035,BudburstmintomaxSoS_threshold_NDGI4,-25.75214089,84,165,183,432
-33.1,0.478193811,32.10334061,-1.604227577,BudburstfilterSoS_threshold_NDVI5,-26.93732607,87,176,170,433
-4.1,0.470373654,27.1172423,-2.449523318,BudburstfilterSoS_threshold_PPI13,15.09971096,96,136,201,433
-1.1,-0.623421439,26.69385429,0.110586824,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI4,-6.085474221,250,133,52,435
-33.1,0.494959661,32.40438769,-1.643038198,BudburstmintomaxSoS_threshold_EVI4,-27.41880755,78,181,176,435
-33.1,0.483204663,32.2102082,-1.637787708,BudburstmintomaxSoS_threshold_NDVI5,-27.01140015,85,177,175,437
-33.1,0.463816713,31.92124533,-1.662699361,BudburstfilterSoS_threshold_NDGI4,-26.23362237,99,169,178,446
-33.1,0.493945472,33.381025,-1.665422266,BudburstSoS_threshold_NDGI5,-28.78917793,79,188,181,448
-33.1,0.498504114,33.48658402,-1.686994393,BudburstmintomaxSoS_threshold_NDGI5,-28.90028904,76,189,184,449
6.9,-0.434430783,26.08648013,-0.417781263,Budburstfilter_cubic_SoS_threshold_NDGI13,17.50711837,217,131,102,450
12.9,-0.578335022,27.15981154,-0.102071766,Budburstfilterdoublelogistic_SoS_threshold_NDGI1,13.32193319,243,137,71,451
-9.1,-0.156651865,27.66361671,-0.826398437,Budburstfilterdoublelogistic_SoS_threshold_EVI4,-22.27065941,176,141,138,455
-33.1,0.473557941,33.50599289,-1.636121828,BudburstSoS_threshold_EVI5,-28.90028904,94,191,174,459
-33.1,0.479747602,33.6483434,-1.664646739,BudburstmintomaxSoS_threshold_EVI5,-29.04843718,86,193,180,459
-4.1,0.474722544,27.26970958,-4.164174898,BudburstSoS_threshold_NDVI13,2.210822075,90,139,230,459
-12.1,0.038286894,29.878147,-1.13615918,Budburstmintomaxdoublelogistic_SoS_threshold_EVI5,-26.04843718,151,158,151,460
