dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
21.5,0.261121059,18.42818738,-10.88563106,Budburstmintomaxdoublelogistic_SoS_threshold_PPI2,17.23958333,153,114,86,353
-34.5,0.395508596,29.79852777,-12.16919564,Budburstfilter_cubic_SoS_threshold_EVI4,-29.63541668,60,185,109,354
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_NDVI1,15.86458333,118,97,140,355
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_NDVI13,15.86458333,119,98,141,358
-26.5,0.211618189,18.94383604,-8.888570023,Budburstdoublelogistic_SoS_threshold_NDPI2,-18.13541668,191,119,50,360
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_NDVI2,15.86458333,120,99,142,361
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_PPI13,15.86458333,121,100,143,364
23.5,0.251800258,18.57289037,-11.06313684,Budburstfilterdoublelogistic_SoS_threshold_PPI2,17.36458333,162,115,90,367
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_PPI2,15.86458333,122,101,144,367
25.5,0.349435591,21.24495446,-13.96531215,Budburstdoublelogistic_SoS_threshold_PPI2,19.98958333,70,145,153,368
21.5,0.25529965,19.55691924,-10.89796422,Budburstcubic_SoS_threshold_PPI13,18.48958333,155,127,87,369
22.5,0.300802565,17.49327747,-13.17567373,BudburstmintomaxSoS_threshold_PPI3,15.86458333,123,102,145,370
21.5,0.186996361,17.80724824,-9.399657424,Budburstcubic_SoS_threshold_NDVI13,16.73958333,209,106,57,372
-26.5,0.235446068,20.73076837,-9.561694558,Budburstcubic_SoS_threshold_NDPI2,-20.01041668,174,139,59,372
26.5,0.291534757,22.2858832,-11.08672874,Budburstfilterdoublelogistic_SoS_threshold_PPI13,21.48958333,132,152,91,375
-19.5,0.795801108,21.11018136,-113.4341082,BudburstfilterSoS_threshold_NDGI13,0.739583325,1,143,234,378
22.5,0.231423466,19.61011023,-10.38511741,Budburstfilter_cubic_SoS_threshold_NDGI2,18.61458333,176,129,76,381
21.5,0.253808213,17.89361404,-12.57108785,Budburstfilter_cubic_SoS_threshold_PPI2,16.36458333,159,108,114,381
21.5,0.200216109,17.76097567,-10.5673083,Budburstfilter_cubic_SoS_threshold_NDVI13,16.48958333,202,105,80,387
-26.5,0.216739365,20.76892127,-9.716788541,Budburstfilter_cubic_SoS_threshold_NDPI2,-20.01041668,186,140,64,390
-19.5,0.541116977,20.59313616,-102.5823158,BudburstfilterSoS_threshold_NDVI1,-0.760416675,31,135,231,397
22.5,0.254383721,19.5734239,-12.65312785,Budburstfilter_cubic_SoS_threshold_PPI13,18.23958333,157,128,115,400
-37.5,0.502921283,33.9947019,-14.01615398,Budburstdoublelogistic_SoS_threshold_EVI5,-33.88541668,39,207,154,400
27.5,0.321797493,23.49942744,-14.49206735,Budburstfilterdoublelogistic_SoS_threshold_NDGI2,22.36458333,90,156,156,402
-38.5,0.542084501,35.58637039,-14.70238929,Budburstfilterdoublelogistic_SoS_threshold_EVI5,-35.51041668,30,215,157,402
23.5,0.182486199,19.55372317,-9.823419539,Budburstcubic_SoS_threshold_NDGI2,18.61458333,210,126,67,403
-37.5,0.502921283,33.9947019,-14.01615398,Budburstmintomaxdoublelogistic_SoS_threshold_EVI5,-33.88541668,40,208,155,403
31.5,0.362234243,26.36155199,-16.6646891,Budburstdoublelogistic_SoS_threshold_PPI13,25.23958333,65,170,168,403
-27.5,0.18960548,19.30280007,-10.27012214,BudburstmintomaxSoS_threshold_NDPI3,-18.26041668,208,124,72,404
-23.5,0.563361393,22.39173412,-120.0811661,BudburstfilterSoS_threshold_EVI1,-2.385416675,22,153,235,410
25.5,0.157432805,20.34581669,-9.773769392,Budburstcubic_SoS_threshold_NDVI1,19.48958333,218,131,65,414
25.5,0.238023315,22.11556217,-11.26522411,Budburstmintomaxdoublelogistic_SoS_threshold_PPI13,21.23958333,170,150,95,415
24.5,0.207818792,20.70713862,-10.82203399,Budburstfilter_cubic_SoS_threshold_NDVI1,19.73958333,195,138,83,416
-45.5,0.686002813,33.18028668,-56.94821316,BudburstfilterSoS_threshold_EVI2,-29.76041668,5,199,212,416
26.5,0.252255265,22.20534297,-11.97302814,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI2,21.23958333,161,151,108,420
-36.5,0.299462441,28.66607619,-12.96134504,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI3,-28.13541668,124,178,120,422
-23.5,0.559271104,23.96729905,-134.9285417,BudburstfilterSoS_threshold_NDVI13,-3.885416675,24,159,240,423
25.5,0.194652671,21.31153264,-10.29471704,Budburstfilter_cubic_SoS_threshold_NDGI13,20.48958333,204,146,74,424
-34.5,0.262993551,26.9554835,-12.20459149,Budburstfilterdoublelogistic_SoS_threshold_NDPI3,-26.38541668,150,171,110,431
-24.5,0.553625636,24.97861933,-144.6096109,BudburstfilterSoS_threshold_NDGI2,-4.760416675,25,164,243,432
-31.5,0.569012955,25.6619483,-151.6185646,BudburstfilterSoS_threshold_NDVI2,-5.385416675,20,168,244,432
-19.5,0.279580841,19.83930671,-14.77822138,BudburstmintomaxSoS_threshold_EVI2,-18.26041668,143,130,160,433
-23.5,0.528811768,24.90511508,-143.3989187,BudburstfilterSoS_threshold_PPI3,-4.635416675,34,163,242,439
-32.5,0.238910469,25.52274654,-11.76237082,Budburstfilter_cubic_SoS_threshold_NDPI3,-24.88541668,169,167,104,440
