R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
0.55348995,45.99282148,-12.52413482,plantbudfilterdoublelogistic_SoS_threshold_NDPI13,71,169,230,470
0.28985948,41.77530544,-4.808137981,plantbudmintomaxcubic_SoS_threshold_NDGI2,181,139,151,471
0.496512425,47.71632721,-9.432679747,plantbudcubic_SoS_threshold_NDPI1,92,177,205,474
0.390401007,48.47437641,-5.211054124,plantbudmintomaxSoS_threshold_PPI3,133,183,161,477
0.299738311,54.88444544,-2.935288502,plantbudfilterSoS_threshold_NDVI5,176,214,88,478
0.417820649,43.40998834,-9.653974803,plantbuddoublelogistic_SoS_threshold_NDGI4,121,150,208,479
0.262113015,53.56386472,-2.811796204,plantbudmintomaxSoS_threshold_NDVI5,190,208,84,482
-0.007628333,36.88718065,-4.069333402,plantbudmintomaxSoS_threshold_NDPI2,251,105,126,482
0.379392993,42.02930439,-9.066935333,plantbudmintomaxcubic_SoS_threshold_NDPI2,141,142,201,484
0.408332557,44.35116913,-9.249047241,plantbudcubic_SoS_threshold_NDPI13,126,155,203,484
0.197622413,51.69711454,-2.601149451,plantbudSoS_threshold_NDVI5,205,200,80,485
0.103178324,45.36548158,-3.104390671,plantbudSoS_threshold_NDVI4,228,165,92,485
0.43137851,45.15947658,-9.562748823,plantbuddoublelogistic_SoS_threshold_NDGI5,117,162,207,486
0.417754727,43.57329536,-9.988650528,plantbudcubic_SoS_threshold_NDPI2,122,153,211,486
0.061402851,42.24832571,-3.706003997,plantbudmintomaxSoS_threshold_NDGI4,236,143,111,490
0.415043685,54.4595878,-4.941386063,plantbudfilterSoS_threshold_NDPI5,123,213,156,492
0.553181174,48.77796075,-13.72851401,plantbudfilterdoublelogistic_SoS_threshold_NDPI2,74,185,235,494
0.290635383,39.88725901,-7.177171314,plantbudcubic_SoS_threshold_NDGI4,180,127,188,495
0.419013599,44.86936069,-10.64489767,plantbudmintomaxcubic_SoS_threshold_NDPI3,120,160,218,498
0.365665016,46.12384623,-6.503336294,plantbudfilterdoublelogistic_SoS_threshold_PPI2,151,170,178,499
0.510821295,59.25682093,-8.309537192,plantbudmintomaxdoublelogistic_SoS_threshold_PPI4,84,226,195,505
0.456668373,59.19179694,-6.007506356,plantbudmintomaxSoS_threshold_PPI4,109,225,172,506
0.448946599,47.78324692,-10.46528208,plantbuddoublelogistic_SoS_threshold_NDVI1,111,179,217,507
0.285142017,47.76439779,-4.632658433,plantbudmintomaxSoS_threshold_NDPI4,183,178,148,509
0.382854816,44.48167253,-10.41304942,plantbuddoublelogistic_SoS_threshold_NDGI3,140,157,216,513
0.359571047,49.25039831,-5.736970362,plantbudcubic_SoS_threshold_NDVI1,159,189,168,516
0.588550283,54.14069667,-16.79701515,plantbudmintomaxdoublelogistic_SoS_threshold_NDPI1,60,212,244,516
0.553445438,53.50322948,-15.49772174,plantbudfilterdoublelogistic_SoS_threshold_NDPI3,72,207,239,518
0.242061061,45.77872399,-5.234796297,plantbudfilterSoS_threshold_PPI3,195,166,162,523
0.483902235,68.18993609,-6.163571046,plantbudmintomaxSoS_threshold_PPI5,102,251,173,526
0.191684533,52.53766087,-3.810839434,plantbudfilterSoS_threshold_NDGI5,208,205,114,527
0.204102266,41.37301425,-7.178111722,plantbudcubic_SoS_threshold_NDGI3,204,137,189,530
0.50631528,65.31715904,-9.155792282,plantbudmintomaxdoublelogistic_SoS_threshold_PPI5,85,246,202,533
0.58849958,55.97667309,-18.8741844,plantbudmintomaxdoublelogistic_SoS_threshold_NDPI13,61,218,254,533
-0.078055432,39.12174055,-4.873890948,plantbudmintomaxSoS_threshold_NDPI13,260,121,153,534
0.245455418,47.93411558,-5.645784912,plantbudcubic_SoS_threshold_NDGI13,193,180,166,539
0.589499628,57.74720219,-20.50628162,plantbudmintomaxdoublelogistic_SoS_threshold_NDPI2,59,221,260,540
-0.23004011,39.99875122,-4.495537341,plantbudSoS_threshold_EVI2,269,128,144,541
0.55336049,57.94784176,-17.0461526,plantbudfilterdoublelogistic_SoS_threshold_NDPI4,73,222,246,541
-0.158105103,40.57601201,-4.55315853,plantbudmintomaxSoS_threshold_NDPI1,266,131,147,544
0.264953758,44.57575139,-8.752109939,plantbudmintomaxcubic_SoS_threshold_NDPI13,189,158,199,546
0.254530252,45.33633984,-8.237687429,plantbudmintomaxcubic_SoS_threshold_NDPI1,191,164,194,549
0.364418549,53.41348895,-7.651264023,plantbudfilterdoublelogistic_SoS_threshold_PPI3,154,206,191,551
0.591885931,61.05839188,-23.12462441,plantbudmintomaxdoublelogistic_SoS_threshold_NDPI3,57,231,264,552
0.208846671,46.26651516,-6.529438852,plantbudcubic_SoS_threshold_NDGI2,202,172,179,553
0.553601832,62.07580873,-18.34053758,plantbudfilterdoublelogistic_SoS_threshold_NDPI5,70,235,251,556
0.360983845,55.03825727,-6.867227594,plantbudSoS_threshold_NDPI5,158,215,184,557
0.367747872,59.47457761,-6.719959845,plantbudfilterSoS_threshold_PPI4,149,227,183,559
0.291714481,55.64072436,-5.585946371,plantbudmintomaxSoS_threshold_NDPI5,179,217,164,560
0.389083003,50.316485,-12.5938598,plantbudmintomaxcubic_SoS_threshold_NDPI4,135,194,232,561
0.592570959,64.15316289,-25.28293416,plantbudmintomaxdoublelogistic_SoS_threshold_NDPI4,56,243,266,565
0.125569812,51.51174089,-4.549617687,plantbudmintomaxSoS_threshold_NDGI5,223,199,146,568
0.294057804,58.00060142,-5.688758542,plantbudcubic_SoS_threshold_NDGI1,178,223,167,568
0.592863413,67.26768652,-27.29226441,plantbudmintomaxdoublelogistic_SoS_threshold_NDPI5,55,250,268,573
0.333372985,48.43086084,-11.29523752,plantbuddoublelogistic_SoS_threshold_NDGI2,168,182,224,574
0.002249706,44.26729676,-6.424841337,plantbudSoS_threshold_NDVI3,247,154,176,577
0.365045888,59.64925679,-8.645226036,plantbudfilterdoublelogistic_SoS_threshold_PPI4,152,228,198,578
0.376965756,51.88299005,-14.24845425,plantbudcubic_SoS_threshold_NDPI3,143,201,236,580
0.36815601,54.02246988,-11.41098153,plantbuddoublelogistic_SoS_threshold_NDGI1,148,211,226,585
0.309438983,50.13940696,-10.958407,plantbuddoublelogistic_SoS_threshold_NDGI13,172,193,221,586
0.210675936,50.38212743,-7.9003688,plantbudSoS_threshold_NDPI4,199,196,192,587
0.196034701,46.59283145,-9.816204169,plantbudSoS_threshold_NDPI3,207,173,210,590
0.470253193,62.46528354,-17.76402362,plantbuddoublelogistic_SoS_threshold_PPI4,105,237,248,590
0.467779088,65.36454455,-14.80976523,plantbuddoublelogistic_SoS_threshold_PPI5,106,247,238,591
0.336989886,69.21657901,-7.047579704,plantbudfilterSoS_threshold_PPI5,164,253,186,603
-0.169133991,44.43983605,-6.702020959,plantbudSoS_threshold_NDVI2,267,156,182,605
0.364258,65.30318158,-9.499301971,plantbudfilterdoublelogistic_SoS_threshold_PPI5,155,245,206,606
0.423766092,61.19070612,-20.36940412,plantbuddoublelogistic_SoS_threshold_PPI3,118,232,257,607
0.124324432,48.14818757,-9.687248756,plantbudSoS_threshold_NDPI2,224,181,209,614
0.351769026,56.30780658,-14.60951067,plantbudmintomaxcubic_SoS_threshold_NDPI5,161,219,237,617
0.423195764,62.80177103,-20.45254799,plantbuddoublelogistic_SoS_threshold_PPI1,119,240,259,618
0.362500093,57.40347295,-16.31865978,plantbudcubic_SoS_threshold_NDPI4,157,220,242,619
-0.292090402,47.43510831,-6.603181471,plantbudSoS_threshold_EVI13,270,176,181,627
0.187153603,50.34714461,-11.36462317,plantbudmintomaxcubic_SoS_threshold_PPI2,209,195,225,629
0.182878914,49.9616428,-11.88358379,plantbudmintomaxcubic_SoS_threshold_PPI3,211,192,227,630
0.164692923,52.34582347,-10.80293511,plantbudmintomaxcubic_SoS_threshold_PPI13,214,202,219,635
0.157496594,53.6637122,-10.18062259,plantbudmintomaxcubic_SoS_threshold_PPI1,216,209,213,638
0.376620416,61.34608781,-20.56984607,plantbuddoublelogistic_SoS_threshold_PPI13,144,233,261,638
-0.122808784,49.44657664,-8.076029919,plantbudSoS_threshold_NDGI4,264,190,193,647
0.36816562,63.57686316,-22.4598475,plantbuddoublelogistic_SoS_threshold_PPI2,147,242,263,652
0.346421518,63.35100678,-18.25322827,plantbudcubic_SoS_threshold_NDPI5,162,241,250,653
0.406568281,72.06192868,-29.64624178,plantbuddoublelogistic_SoS_threshold_NDPI5,127,258,270,655
0.39041836,72.12869934,-28.61117864,plantbuddoublelogistic_SoS_threshold_NDPI4,132,259,269,660
-0.004749832,55.54666533,-8.455947874,plantbudSoS_threshold_NDGI5,250,216,196,662
0.106563619,53.67993011,-12.26858589,plantbudmintomaxcubic_SoS_threshold_PPI4,227,210,229,666
0.210415814,70.46312828,-10.0554975,plantbudSoS_threshold_PPI5,200,255,212,667
0.067174388,58.51634912,-10.93877389,plantbudmintomaxcubic_SoS_threshold_PPI5,235,224,220,679
-0.073371694,52.38373758,-11.28396746,plantbudSoS_threshold_NDGI3,258,204,223,685
0.131777448,62.70941615,-12.07913514,plantbudSoS_threshold_NDPI13,221,239,228,688
0.231236175,70.17445015,-16.34498305,plantbudcubic_SoS_threshold_PPI5,198,254,243,695
-0.031119314,59.96508901,-10.18216605,plantbudSoS_threshold_EVI1,255,229,214,698
0.303636748,74.13648816,-21.60461329,plantbuddoublelogistic_SoS_threshold_NDPI13,174,263,262,699
0.306368276,74.00962476,-26.98265128,plantbuddoublelogistic_SoS_threshold_NDPI3,173,261,267,701
0.283756777,75.71335778,-18.83278338,plantbuddoublelogistic_SoS_threshold_NDPI1,184,266,253,703
0.286345199,72.99210313,-23.49849162,plantbuddoublelogistic_SoS_threshold_NDPI2,182,260,265,707
0.012414463,74.01925704,-9.294256252,plantbudSoS_threshold_NDPI1,245,262,204,711
0.144581017,65.44532165,-18.03100699,plantbudcubic_SoS_threshold_PPI4,219,248,249,716
0.098665837,62.54667458,-18.61439777,plantbudcubic_SoS_threshold_PPI3,229,238,252,719
-0.014014597,61.9202237,-13.43633815,plantbudSoS_threshold_NDVI13,253,234,234,721
0.157356349,71.59261108,-17.75639881,plantbudSoS_threshold_PPI2,217,257,247,721
0.17220402,68.46138658,-20.35799305,plantbudcubic_SoS_threshold_PPI13,213,252,256,721
-0.227345147,89.88407561,-7.154686154,plantbudSoS_threshold_PPI1,268,270,187,725
-0.075049285,82.65381332,-9.036445552,plantbudSoS_threshold_NDGI1,259,268,200,727
0.116226543,65.20608177,-20.43476365,plantbudcubic_SoS_threshold_PPI2,225,244,258,727
0.00673574,85.53082256,-10.27989731,plantbudSoS_threshold_PPI13,246,269,215,730
0.173937838,74.71177075,-20.26396007,plantbudcubic_SoS_threshold_PPI1,212,264,255,731
0.018224326,75.31569119,-12.55742428,plantbudSoS_threshold_NDVI1,243,265,231,739
-0.039802673,66.60178018,-15.52694808,plantbudSoS_threshold_PPI4,256,249,240,745
