R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
-0.002138496,34.76162459,-2.445500905,plantbudmintomaxSoS_threshold_NDGI3,248,93,70,411
0.184480339,34.17100252,-3.832218914,plantbudfilterSoS_threshold_PPI13,210,85,116,411
0.033585424,37.77224996,-2.364843458,plantbudfilterSoS_threshold_NDGI1,240,110,62,412
0.584071193,52.35066538,-4.504743758,plantbudfilter_cubic_SoS_threshold_NDPI5,64,203,145,412
0.363760135,36.46327128,-4.879127125,plantbudfilterdoublelogistic_SoS_threshold_PPI1,156,103,154,413
0.375432214,42.44478183,-4.026716909,plantbudmintomaxcubic_SoS_threshold_EVI1,145,145,124,414
0.126837418,38.97358586,-2.724971918,plantbudfilterSoS_threshold_PPI1,222,118,83,423
0.394147616,45.98550219,-4.037216241,plantbudmintomaxcubic_SoS_threshold_NDVI1,131,168,125,424
0.665572663,60.62788665,-5.155767289,plantbudfilter_cubic_SoS_threshold_PPI5,37,230,160,427
0.384598336,46.89028272,-3.94550396,plantbudmintomaxcubic_SoS_threshold_NDGI1,138,174,122,434
0.371763227,41.28605805,-4.84224025,plantbudmintomaxcubic_SoS_threshold_NDVI5,146,136,152,434
0.447659134,40.27183248,-8.457890641,plantbuddoublelogistic_SoS_threshold_NDVI13,112,129,197,438
0.242628332,49.06994596,-2.373510621,plantbudmintomaxSoS_threshold_EVI5,194,186,63,443
0.23139644,39.21021784,-3.961110138,plantbudmintomaxSoS_threshold_NDPI3,197,123,123,443
0.394854342,47.18305874,-4.397192616,plantbudfilterSoS_threshold_NDPI4,130,175,139,444
0.552889758,43.08443994,-11.04582477,plantbudfilterdoublelogistic_SoS_threshold_NDPI1,75,147,222,444
0.268306916,49.84318814,-2.445311597,plantbudfilterSoS_threshold_EVI5,187,191,69,447
0.295731511,43.01915058,-4.074567465,plantbudmintomaxcubic_SoS_threshold_NDGI13,177,146,127,450
0.333387262,37.29235465,-6.460660942,plantbudmintomaxcubic_SoS_threshold_NDGI4,167,107,177,451
0.319488566,37.97006288,-5.918408786,plantbudmintomaxcubic_SoS_threshold_NDGI3,169,112,171,452
0.334027728,38.24616233,-6.277471099,plantbudmintomaxcubic_SoS_threshold_NDGI5,166,115,174,455
0.5678483,50.88419952,-7.364020207,plantbudmintomaxdoublelogistic_SoS_threshold_PPI3,67,198,190,455
0.364775025,41.73902959,-5.783436658,plantbudfilterdoublelogistic_SoS_threshold_PPI13,153,138,169,460
0.387926827,41.83569977,-6.90505159,plantbudcubic_SoS_threshold_NDGI5,137,141,185,463
0.163058985,49.23136407,-2.380794687,plantbudSoS_threshold_EVI5,215,188,64,467
