dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
-9,0.124466335,55.56781004,-1.490012462,EOSEoS_cubic_threshold_NDGI13,95,205,300
0,-0.038025425,35.42986029,-0.669866636,EOSEoS_filterthreshold_NDPI2,207,96,303
120,-0.025541164,37.48332963,-0.240617725,EOSEoS_cubic_threshold_NDGI4,193,110,303
0,0.237833974,67.60670578,-2.196022537,EOSEoS_threshold_NDPI13,54,249,303
-15,0.020920641,41.47197849,-0.650162467,EOSEoS_mintomaxdoublelogistic_threshold_NDGI4,161,143,304
-61,-0.029079262,36.75423716,-0.159885544,EOSEoS_cubic_threshold_DVI5,199,106,305
-2,-0.001611846,39.51666315,-0.950260997,EOSEoS_filterthreshold_NDPI1,180,128,308
-15,-0.046906835,34.43302678,-0.246792423,EOSEoS_mintomaxdoublelogistic_threshold_NDVI4,220,92,312
-22,0.195120643,66.54478442,-2.566314088,EOSEoS_filterdoublelogistic_threshold_EVI13,65,247,312
-16,0.194885557,67.10930139,-2.888272064,EOSEoS_filterdoublelogistic_threshold_NDGI3,66,248,314
0,-0.031648439,37.930968,-0.84023053,EOSEoS_filterthreshold_NDPI13,201,116,317
12,0.115568705,58.31751686,-1.650209092,EOSEoS_cubic_threshold_NDGI1,100,218,318
-9,-0.083574907,31.81260232,0.235361465,EOSEoS_mintomaxdoublelogistic_threshold_EVI4,243,76,319
-17,0.110895043,57.87364109,-2.074670782,EOSEoS_filterdoublelogistic_threshold_EVI2,102,217,319
-9,-0.084640342,31.88651753,-0.051963392,EOSEoS_doublelogistic_threshold_NDVI5,245,78,323
-39,0.0917171,57.66674762,-1.646443879,EOSEoS_cubic_threshold_DVI13,108,216,324
-1,-0.026876525,39.78002011,-0.977487779,EOSEoS_filterthreshold_NDGI13,196,130,326
-4,-0.021048521,40.12708977,-1.006255272,EOSEoS_filterthreshold_NDGI1,192,134,326
-53,0.081065234,57.60376096,-1.594427751,EOSEoS_cubic_threshold_NDPI1,113,214,327
-21,0.019265245,46.06806558,-0.936332524,EOSEoS_mintomaxdoublelogistic_threshold_NDGI3,163,165,328
-24,0.096688318,58.89793432,-3.176761195,EOSEoS_filterdoublelogistic_threshold_NDPI13,106,223,329
-15,-0.079855389,34.65941431,-0.033072943,EOSEoS_mintomaxdoublelogistic_threshold_EVI3,238,93,331
6,-0.084202387,33.71868918,-0.457449886,EOSEoS_filterthreshold_EVI2,244,88,332
-16,-0.026561268,40.29671202,-0.523557918,EOSEoS_doublelogistic_threshold_NDGI5,195,137,332
6,-0.083399428,34.35731363,-0.499926119,EOSEoS_filterthreshold_NDVI3,242,91,333
