物种名	内容
柠条锦鸡儿	"42. 柠条锦鸡儿（中国主要植物图说?豆科）柠条（宁夏），白柠条（内蒙古伊克昭盟），毛条（甘肃河西走廊），查干一哈日嘎纳（蒙）
    Caragana korshinskii Kom. in Acta Hort. Petrop. 29: 351. t. 13. 1909; 中国主要植物图说?豆科356. 图352. 1955; 中国高等植物图 2: 412. 图2554. 1972; 内蒙古植物志3: 177. 图版89 (10-15). 1977; 中国沙漠植物志2: 228. 1987.
    灌木，有时小乔状，高1-4米；老枝金黄色，有光泽；嫩枝被白色柔毛。羽状复叶有6-8对小叶；托叶在长枝者硬化成针刺，长3-7毫米，宿存；叶轴长3-5厘米，脱落；小叶披针形或狭长圆形，长7-8毫米，宽2-7毫米，先端锐尖或稍钝，有刺尖，基部宽楔形，灰绿色，两面密被白色伏贴柔毛。花梗长6-15毫米，密被柔毛，关节在中上部；花萼管状钟形，长8-9毫米，宽4-6毫米，密被伏贴短柔毛，萼齿三角形或披针状三角形；花冠长20-23毫米，旗瓣宽卵形或近圆形，先端截平而稍凹，宽约16毫米，具短瓣柄，翼瓣瓣柄细窄，稍短于瓣片，耳短小，齿状，龙骨瓣具长瓣柄，耳极短；子房披针形，无毛。荚果扁，披针形，长2-2.5厘米，宽6-7毫米，有时被疏柔毛。花期5月，果期6月。
    产内蒙古（伊克昭盟西北部、巴彦淖尔盟、阿拉善盟）、宁夏、甘肃（河西走廊）。生于半固定和固定沙地。常为优势种。模式标本采自内蒙古鄂尔多斯。
    优良固沙植物和水土保持植物。
    本种系 V. L. Komarov 根据内蒙古鄂尔多斯西北部和库布齐沙漠、贺兰山的标本描述，子房密被短柔毛。这一特征在检索表中作为与小叶锦鸡儿 C. microphylla Lam.的主要区别。但在所引用的第5号标本，采集者 G. N. Potanin 曾记录幼果无毛。在V. L. Komarov t. 16. f. B 图，刚谢花的幼果也未画毛。我们观察该产地大量标本，子房完全无毛。因此我们怀疑原描述有误，待查模式标本。"
细枝岩黄芪	
花棒	"4. 大花棒果芥  图版108：4-6
        Sterigmostemum grandiflorum K. C. Kuan, 东北林学院植物研究室汇刊8 (8): 43. 照片10. 1980. 
        多年生草本，高6-16厘米，全体密生星状毛；茎单一或数个，直立或上升，从基部分枝。基生叶匙形或倒披针形，长2-7厘米，宽5-25毫米，顶端圆钝，基部渐狭，灰绿色，中脉粗，显著；叶柄长1-5厘米；茎生叶线形或披针形，长1-3厘米。总状花序顶生；萼片长圆形，长12-14毫米，顶端钝；花瓣灰黄色或黄棕色，倒卵形，长17-20毫米，芳香；长雄蕊花丝长约10毫米；子房长10-12毫米，花柱长约5毫米，柱头2裂，开展。长角果圆柱形，长2.5-3.5厘米，顶端稍细；果梗粗，长7-10毫米，直径约1毫米；种子长圆形，长约1毫米，红棕色。花、果期5-7月。
        产青海。生在山谷，海拔3560-4270米。模式标本采自青海。
        本种和棒果芥 Sterigmostemum tomentosum ( Willd.) M. Bieb. 相近，但基生叶匙形或倒披针形，花较大，花瓣长17-20毫米。"
小叶杨	"16. 小叶杨（中国树木分类学）南京白杨（南京），河南杨、明杨、青杨（河南）
    Populus simonii Carr. in Rev. Hort. 1867: 360. 1867; Schneid. in Sarg. Pl. Wils. 3: 21. 1916; Rehd. Man. Cult. Trees and Shrubs, 88. 1927;周汉藩, 河北习见树木图说, 35. 1934; Haoin Contr. Inst. Bot. Nat. Acat. Peiping, 3: 235. 1935; Kom. Fl. URSS, 5: 241. 1936;陈嵘, 中国树木分类学, 118. 图88. 1937;刘慎谔等, 东北木本植物图志119. 图版20: 1-3, 图版22: 41. 1955; 中国高等植物图鉴, 1: 353. 图706. 1972;秦岭植物志, 1 (2): 22. 图11. 1974——P. laurifolia Ledeb. r. simonii Rgl. Russk. Vendr. 2: 152. 1883.——P. balsamifera L. μSimonμ. Wesm. in Bull. Soc. Bot. Belg. 26: 378. 1887; Burkill in Journ. Linn. Soc. 26: 536. 1899. ——P. suaveolens auct. non Fisch.: Schneid. in Sarg. Pl. Wils. 3: 18. 1916. P. P.
    乔木，高达20米，胸径50厘米以上。树皮幼时灰绿色，老时暗灰色，沟裂；树冠近圆形。幼树小枝及萌枝有明显棱脊，常为红褐色，后变黄褐色，老树小枝圆形，细长而密，无毛。芽细长，先端长渐尖，褐色，有粘质。叶菱状卵形、菱状椭圆形或菱状倒卵形，长3-12厘米，宽2-8厘米，中部以上较宽，先端突急尖或渐尖，基部楔形、宽楔形或窄圆形，边，缘平整，细锯齿，无毛，上面淡绿色，下面灰绿或微白，无毛；叶柄圆筒形，长0.5-4厘米，黄绿色或带红色。雄花序长2-7厘米，花序轴无毛，苞片细条裂，雄蕊8-9（25）；雌花序长2.5-6厘米；苞片淡绿色，裂片褐色，无毛，柱头2裂。果序长达15厘米；蒴果小，2 (3)瓣裂，无毛。花期3-5月，果期4-6月。
    在我国分布广泛，东北、华北、华中、西北及西南各省区均产。垂直分布一般多生在2000米以下，最高可达2500米；沿溪沟可见。多数散生或栽植于四旁。模式标本采自北京南口、西拐子（八达岭）。喜光树种，适应性强，对气候和土壤要求不严，耐旱，抗寒，耐瘠薄或弱碱性土壤，在砂、荒和黄土沟谷也能生长，但在湿润、肥沃土壤的河岸、山沟和平原上生长最好；栗钙土上生长不好；根系发达，抗风力强，可用插条、埋条（干）、播种等法繁殖；为我国干旱地区群众所喜欢。
    木材轻软细致，供民用建筑、家具、火柴杆、造纸等用；为防风固沙、护堤固土、绿化观赏的树种，也是东北和西北防护林和用材林主要树种之一。"
黑沙蒿	"141.黑沙蒿（中国高等植物图鉴）沙蒿（俗称），鄂尔多斯蒿（辽宁、内蒙古），油蒿、
  籽蒿（内蒙古），“哈拉一沙巴嘎，’（蒙语名）图版27：6-10
     Artemisia ordosica Krasch. in Not. Syst. Herb. Inst. Acad. Sci. URSS 9: 173. 1946; S.Y. Hu in Quart. Journ. Taiwan Mus. 18(3-4): 247. 1965; 中国高等植物图鉴4: 528, 图6470. 1975. ——A. ordosica Krasch. var. rnontana H. C. Fu et var. fulva H. C. Fu, 内蒙古植物志6: 124. et in addenda 328, 图版43.图1——6. 1982.——A. salsolofdes auct., non Willd.: Pamp. in Nuov. Giorn. Bot. Ital. n. s. 34: 698. 1927. p. p., incl. var. mongolica Pamp.: Ling in Contr. Inst. Bot. Nat. Acad. Peip. 3: 211. 1935. p. p.; S. Y. Hu l. c. 18 (3-4): 256. 1965. incl. var.
    小灌木。主根粗而长，木质，侧根多；根状茎粗壮，直径1-3厘米，具多枚营养枝。茎多枚，高50-100厘米，茎皮老时常呈薄片状剥落，分枝多，枝长10-35厘米，老枝暗灰白色或暗灰褐色，当年生枝紫红色或黄褐色，茎、枝与营养枝常组成大的密丛。叶黄绿色，初时两面微有短柔毛，后无毛，多少半肉质，干后坚硬；茎下部叶宽卵形或卵形，一至二回羽状全裂，每侧有裂片3-4枚，基部裂片最长，有时再2-3全裂，小裂片狭线形，叶柄短，基部稍宽大；中部叶卵形或宽卵形，长3-5（-7）厘米，宽2-4厘米，一回羽状全裂，每侧裂片2-3枚，裂片狭线形，长1.5-3厘米，宽0.5-1毫米，通常向中轴方向弯曲或不弧曲；上部叶5或3全裂，裂片狭线形，无柄；苞片叶3全裂或不分裂，裂片或不分裂之苞片叶狭线形。头状花序多数，卵形，直径1.5-2.5毫米，有短梗及小苞叶，斜生或下垂，在分枝上排成总状或复总状花序，并在茎上组成开展的圆锥花序；总苞片3-4层，外、中层总苞片卵形或长卵形，背面黄绿色，无毛，边缘膜质，内层总苞片长卵形或椭圆形，半膜质；雌花10-14朵，花冠狭圆锥状，檐部具2裂齿，花柱长，伸出花冠外，先端2叉；两性花5-7朵，不孕育，花冠管状，花药线形，顶端附属物尖，长三角形，基部圆钝，花柱短，先端圆，棒状，2裂，不叉开，退化子房不明显。瘦果倒卵形，果壁上具细纵纹并有胶质物。花果期7-10月。 
    原产内蒙古、河北（北部）及山西（北部），现陕西（北部）、宁夏、甘肃（中部、西部）
及新疆（东部、北部）有引种；多分布于海拔1 500米以下的荒漠与半荒漠地区的流动与半流动沙丘或固定沙丘上，也生长在干草原与干旱的坡地上，在荒漠与半荒漠地区常组成植物群落的优势种或主要伴生种。模式标本采自内蒙古伊克昭盟鄂尔多斯地区。
    根系粗长，茎木质，分枝多而长，耐沙压埋；果壁上含胶质物，遇水吸湿膨胀可胶住土壤并能促进种子发芽，为良好的固沙植物之一。适于飞机播种。茎、枝作固沙的沙障或编筐用。枝、叶入药，蒙医作消炎、止血、祛风、清热药。牧区作牲畜饲料。果壁胶质物作食品工业的粘着剂。
    本种植株常有变异，幼株与老株叶的小裂片大小常不一。《内蒙古植物志》(6)记载的山油蒿A. ordosica Krasch. var. montana H. C. Fu及乌油蒿A. ordosica Krasch. var.
fulva H. C. Fu实为该种变异的特征。本种过去常被误定为苏联盐碱地沙蒿A. salsoloides Willd.，或作为其蒙古变种A. salsoloides Willd. var. mongolica Pamp.。有的学者还将本种及盐蒿 A. halodendron Turcz. ex Bess.和藏沙蒿A. wellbyi Hemsl. et Pears.等都归在苏联盐碱地沙蒿中或作为其变种（见各有关种说明）。其实苏联盐碱地沙蒿与上述各种均有明显区别，该种为多年生半灌木状草本，枝多斜向上贴向中轴；叶薄纸质，茎中部叶通常为3全裂，裂片狭线形，侧边的裂片向中轴弧曲；头状花序倒卵形或宽卵形，直径1.5-2.5毫米，具短梗，直立，在分枝上排成总状花序，并在茎上组成狭窄的圆锥花序。产苏联（西伯利亚西部、高加索及欧洲部分）干旱或半干旱地区的石灰岩山坡、路旁，也见于火山喷出岩形成的陡坡上。另印度植物志 (Hook. f. Fl. Brit. Ind. 3: 321-881.) 记载的A. salsoloides Willd. var. salsoloides及var. paniculata Hook. f. p. p.以及R. Parnpanini建立的变型f. a. genuina Pamp., f. b. halodendron Pamp. f. c. paniculata Pamp.等非本种的异名。其中一部分标本是藏沙蒿  A. welbyi Hemsl. et Pears.、藏旱,A. nortonii Pamp.及藏岩蒿A. prattii (Pamp.) Ling et Y. R. Ling的异名, 而另一些标本则立为日喀则A. xigarzeensis Ling et Y. R. Ling。"
塔落岩黄耆	"3d. 塔落岩黄耆（变种）（内蒙古植物志）图版46: 12-18
    var. laeve (Maxim.) H. C. Fu, 内蒙植物志3: 250. 1977. ---H. laeve Maxim. in Bull. Imp. Soc. St. Petersb. 27: 464. 1881.——H. fruticosum Pall. subsp. laeve (Maxim.) B. Fedtsch. in Act. Hort. Petrop. 19: 212. 1902.
    本变种与原变种的主要区别在于子房和荚果无毛和刺。但本变种更接近木岩黄耆 (var. lignosum (Trautv.) Kitagawa) 其主要区别在于花萼明显浅裂，萼齿短三角形，锐尖，长仅为萼筒的1/3；翼瓣片短而尖，等于或短于龙骨瓣柄。
    产黄河中游的宁夏东部、陕西北部、内蒙南部和山西最北部的草原地区。生于流沙地或半固定沙丘和沙地。模式标本采自内蒙古。
    本变种耐干旱，繁殖力强，是一种良好的固沙植物和优良饲料。目前，在我国新疆、甘肃河西走廊和陕北沙地普遍用作固沙植物和饲料；枝条是耐燃的薪炭。"
老瓜头	"31．老瓜头（甘肃）图版126
        Cynanchum komarovii Al. Iljinski in Act. Horti Petropolit. 34: 52. 1920; 中国高等植物图鉴, 3: 481, 图4915. 1974: Tsiang et P. T. Li in Acta Phytotax. Sinica 12: 98. 1974. ——Vincetoxicum mongolicum Maxim. in Bull. Acad. Sci. St. Petersb.  23: 356. 1877. ——Cynanchum mongolicum (Maxim. ) K. Schum. in Engl. u. Prantl,  Nat. Pflanz. 4, 2: 252. 1895, non Hemsl. in Journ. Linn. Soc. Bot. 26: 107. 1889,  nom. illeg. ——Cynanchum mongolicum (Maxim. ) Komarov in Act. Hort. Petrop. 34:  54. 1920. 
        直立半灌木，高达50厘米，全株无毛；根须状。叶革质，对生，狭椭圆形，长3-7厘米，宽5-15毫米，顶端渐尖或急尖，干后常呈粉红色，近无柄。伞形聚伞花序近顶部腋生，着花10余朵；花萼5深裂，两面无毛，裂片长圆状三角形；花冠紫红色或暗紫色，裂片长圆形，长2-3毫米，宽1.5毫米；副花冠5深裂，裂片盾状，与花药等长；花粉块每室1个，下垂；子房坛状，柱头扁平。蓇葖单生，匕首形，向端部喙状渐尖，长6.5厘米，直径1厘米；种子扁平；种毛白色绢质。花期6-8月，果期7-9月。
        产于宁夏、甘肃、河北和内蒙古等省区。分布于内蒙古北部边缘地区附近的沙漠及黄河岸边或荒山坡，垂直分布可达海拔2000米左右。模式标本采自内蒙古鄂尔多斯一带。"
角蒿	"13.角蒿属——Incarvillea Juss.
        Juss. Gen. 138. 1789; Benth. et Hook. f. Gen. Pl. 2: 1049. 1876; Grierson in Not. Bot. Gard. Edinb. 23 (3) : 303. 1961. ——Amphicome Royle, Ill. Bot. Himal. tab. 72, fig. 1. 1835. ——Neidzwedzkia B. Fedtsch. in Bull. Jard. Bot. Pierre Grand 15: 399. 1915.
     一年生或多年生直立或匍匐草本，植株具茎或无茎。叶基生或互生，单叶或1-3回羽状分裂。总状花序顶生。花萼钟状，萼齿5，三角形渐尖或圆形突尖，稀基部膨大成腺体。花冠红色或黄色，漏斗状，多少二唇形，裂片5，圆形，开展。雄蕊4，2强，内藏，花药无毛，丁字形着生，基部具矩。花盘环状。子房无柄，2室，胚珠多数，在每一胎座上1-2列，花柱线形，柱头扁平，扇状，2裂。蒴果长圆柱形，直或弯曲，渐尖，有时有4-6棱。种子较多，细小，扁平，两端或四周有白色透明膜质翅或丝状毛。
       约15种，分布自中亚，经喜马拉雅山区至东亚。我国产11种，3变种。
    本属多数种类花大而颜色鲜艳，可引种栽培，供庭园观赏，少数种类的根或全草可入药。"
中间锦鸡儿	"41. 中间锦鸡儿（内蒙古植物志）图版13: 9-16
    Caragana intermedia Kuang et H. C. Fu, 内蒙古植物3: 287, 178. 图版90. 1977; 中国沙漠植物志2: 229. 1987.
    灌木，高0.7-1.5 (2) 米。老枝黄灰色或灰绿色，幼枝被柔毛。羽状复叶有3-8对小叶；托叶在长枝者硬化成针刺，长4-7毫米，宿存；叶轴长1-5厘米，密被白色长柔毛，脱落；小叶椭圆形成倒卵状椭圆形，长3-10毫米，宽4-6毫米，先端圆或锐尖，很少截形，有短刺尖，基部宽楔形，两面密被长柔毛。花梗长10-16毫米，关节在中部以上，很少在中下部；花萼管状钟形，长7-12毫米，宽5-6毫米，密被短柔毛，萼齿三角状；花冠黄色，长20-25毫米，旗瓣宽卵形或近圆形, 瓣柄为瓣片的1/4-1/3，翼瓣长圆形，先端稍尖瓣柄与瓣片近等长，耳不明显；子房无毛。荚果披针形或长圆状披针形，扁，长2.5-3.5厘米，宽5-6毫米，先端短渐尖。花期5月，果期6月。
    产内蒙古（锡林郭勒盟、伊克昭盟、乌兰察布盟）、陕西北部、宁夏（盐池）。生于半固定和固定沙地、黄土丘陵。引种到兰州地区黄土山坡，不灌溉，生长良好。模式标本采自内蒙古鄂尔多斯。
    优良固沙和绿化荒山植物。"
兴安胡枝子	"19.兴安胡枝子（东北木本植物图志）达呼尔胡枝子（中国主要植物图说?豆科），毛果胡枝子（云南植物名录）
        Lespedeza daurica (Laxm.) Schindl. in Fedde, Repert. Sp. Nov. 22: 274. 1926; Hand. -Mazz. Symb. Sin. 7: 571. 1933; Schischk. et Bob. in Kom. Fl. URSS 13:381. 1948. pro parte;东北木本植物图志346. 图版118:259. 1955;中国主要植物图说?豆科524. 图517. 1955;中国高等植物图鉴2: 461. 图2651. 1972; Kitagawa, Neo-Lineam. Fl. Mansh. 405. 1979;云南种子植物名录上册, 613. 1984. ——Trifolium dauricum Laxm. in Nov. Comm. Acad. Petrop. 15: 560. tab. 30. f. 5. 1771.——Hedysarum trichocarpum Stephan ex Willd. Sp. Pl. 3: 1149. 1800. ——Lespedeza trichocarpum (Stephan) Pers. Syn. Pl. 2:318. 1807.——L. medicaginoides Bunge in Mem. Acad. Sci. St. Petersb. Sav. Etrang. 2: 93. 1833.——L. gerardiana auct. non Grah: Franch. Pl. Delav. 169. 1899; Levl. Cat. Pl. Yunnan 158. 1916.
    小灌木，高达1米。茎通常稍斜升，单一或数个簇生；老枝黄褐色或赤褐色，被短柔毛或无毛，幼枝绿褐色，有细棱，被白色短柔毛。羽状复叶具3小叶；托叶线形，长2-4毫米；叶柄长1-2厘米；小叶长圆形或狭长圆形，长2-5厘米，宽5-16毫米，先端圆形或微凹，有小刺尖，基部圆形，上面无毛，下面被贴伏的短柔毛；顶生小叶较大。总状花序腋生。较叶短或与叶等长；总花梗密生短柔毛；小苞片披针状线形，有毛；花萼5深裂，外面被白毛，萼裂片披针形，先端长渐尖，成刺芒状，与花冠近等长；花冠白色或黄白色，旗瓣长圆形，长约1厘米，中央稍带紫色，具瓣柄，翼瓣长圆形，先端钝，较短，龙骨瓣比翼瓣长，先端圆形；闭锁花生于叶腋，结实。荚果小，倒卵形或长倒卵形，长3-4毫米，宽2-3毫米，先端有刺尖，基部稍狭，两面凸起，有毛，包于宿存花萼内。花期7-8月，果期9-10月。
        产东北、华北经秦岭淮河以北至西南各省。生于干山坡、草地、路旁及沙质地上。朝鲜、日本、原苏联（西伯利亚）也有分布。
        为优良的饲用植物，幼嫩枝条各种家畜均喜食，亦可做绿肥。"
北沙柳	"254．北沙柳（东北林学院植物研究室汇刊）图版111
     Salix psammophila C. Wang et Ch. Y. Yang,东北林学院植物研究室汇刊, 9: 104. 1980. 
    灌木，高3-4米。当年枝初被短柔毛，后几无毛，上年生枝淡黄色，常在芽附近有一块短绒毛。叶线形，长4-8厘米，宽2-4毫米（萌条叶长至12厘米），先端渐尖，基部楔形，边缘疏锯齿，上面淡绿色，下面带灰白色，幼叶微有绒毛，成叶无毛；叶柄长约1毫米；托叶线形，常早落（萌枝上的托叶常较长）。花先叶或几与叶同时开放，花序长1-2厘米，具短花序梗和小叶片，轴有绒毛；苞片卵状长圆形，先端钝圆，外面褐色，稀较暗，无毛，基部有长柔毛；腺体1，腹生，细小；雄蕊2,花丝合生，基部有毛，花药4室，黄色；子房卵圆形，无柄，被绒毛，花柱明显，长约0.5毫米，柱头2裂，具开展的裂片。花期3-4月，果期5月。
    产陕西、内蒙古、宁夏、山西等省区。抗风沙，不择土宜，繁殖容易，各地常作固砂造林树种。模式标本采自宁夏盐池县。
     本种的叶形与黄柳S. gordejevii Y. L. Chang et Skv.相近，但黄柳的枝、叶始终无毛，叶缘具粗腺齿，秋季常外卷，花丝2，离生，蒴果无毛，而本种的枝、叶初期常有微绒毛，叶缘疏浅齿，不反卷，花丝合生成单体；蒴果密被绒毛。另外，本种也容易与细枝柳S. gracilior (Siuz.) Nakai 相混，但本种叶为线形，上下几等宽; 花柱明显，而后者叶常上部较宽；花柱很短至缺。"
梭梭	"28.梭梭属*——Haloxylon Bunge
    Bunge in Ledeb. Fl. Ross. 3: 819. 1851.
    灌木或小乔木，无毛或仅叶腋内具棉毛。茎直立，多分枝，老枝圆柱状；当年枝绿色或蓝绿色，具关节。叶对生，退化成鳞片状，或几无叶，基部合生，先端钝或具短芒尖。花单生于叶腋，两性，具2小苞片; 花被片5，离生，纸质或干膜质，内面凹，内面基部常具蛛丝状毛，果时背部上方具横翅状附属物；翅状附属物膜质，平展，具纵脉；雄蕊5,着生于杯状花盘上，花药椭圆形，不具附属物；子房基部陷于花盘内，花柱极短，柱头2-5。胞果半球形，顶面微凹，果皮肉质，与种子贴伏。种子横生，无胚乳；胚绿色，螺旋状。
    本属约11种，分布于地中海至中亚。我国产2种。"
白梭梭	"1.白梭梭 波斯梭梭（中国植被区划初稿）图版32: 14
    Haloxylon persicum Bunge ex Boiss. et Buhse in Nouv. Mem. Soc. Nat. Moscou 12: 189. 1860; Iljin in Fl. URSS 6: 311. t. 10. f. 9a-c. 1936; Полояк. in Фл. Казахст. 3: 304. t. 29. f. 8. 1960; Grubov, Pl. Asiae Centr. 2: 112. 1966; ——Arthrophytum ammodendron var. acutifolium Minkw. in Repert. Sp. Nov. 11: 478. 1912. ——A. persicum R.-Sav. in Not. Syst. Herb. Hort. Bot. Reip. Ross. 5: 45. 1924.
    小乔木，高1-7米。树皮灰白色，木材坚而脆；老枝灰褐色或淡黄褐色，通常具环状裂隙；当年枝弯垂（幼树上的直立），节间长5-15毫米，直径约1.5毫米。叶鳞片状，三角形，先端具芒尖，平伏于枝，腋间具棉毛。花着生于二年生枝条的侧生短枝上；小苞片舟状，卵形，与花被等长，边缘膜质；花被片倒卵形，先端钝或略急尖，果时背面先端之下1/4处生翅状附属物；翅状附属物扇形或近圆形，宽4-7毫米，淡黄色，脉不明显，基部宽楔形至圆形，边缘微波状或近全缘；花盘不明显。胞果淡黄褐色，果皮不与种子贴生。种子直径约2.5毫米; 胚盘旋成上面平下面凸的陀螺状。花期5-6月，果期9-10月。
    产新疆北部。生于沙丘上，有固沙作用。伊朗、阿富汗、苏联哈萨克斯坦也有分布。
     本种是我国西北地区的优良固沙造林树种，目前除新疆大量应用进行固沙造林外，甘肃、宁夏、内蒙古沙区也进行了引种。木材坚而脆，发热力强，除作牲口圈棚和固定井壁用材外，是沙区人民群众生活的薪炭来源。当年枝是骆驼、驴、羊的良好饲料。"
淡枝沙拐枣	"2.淡枝沙拐枣 图版29: 4
    Calligonum leucocladum (Schrenk) Bge. Mem. Acad. St——Petersb. sav. etrang. 7: 485. 1851; Pavl. in Fl. URSS 5: 545. 1936; Байт. и Павл. во Фл. Каэахст. 3: 129. 1960; СосковвБотжурн. 53(4): 476. 1968;植物分类学报24(2): 99. 1986.——Pterococcus leucocladus Schrenk in Bull. phys.-math. Acad. Petrab. 3: 211. 1845. 
    灌木，高50-120厘米（记载有2米）。老枝黄灰色或灰色，拐曲，通常斜展；当年生幼枝灰绿色，纤细，节间长1-3厘米。叶线形，长2-5毫米，易脱落；托叶鞘膜质，淡黄褐色。花较稠密，2-4朵生叶腋；花梗长2-4毫米，近基部或中下部有关节；花被片宽椭圆形，白色，背部中央绿色。果（包括翅）宽椭圆形，长12-18毫米，宽10-16毫米；瘦果窄椭圆形，不扭转或微扭转，4条肋各具2翅；翅近膜质，较软，淡黄色或黄褐色，有细脉纹，边缘近全缘、微缺或有锯齿。花期4-5月，果期5-6月。
    新疆沿天山北麓各县较广泛分布。生于半固定沙丘、固定沙丘和沙地，海拔500-1200米。哈萨克斯坦也有。"
泡泡刺	"1. 泡泡刺（甘肃河西）球果白刺（治沙研究）、膜果白刺（内蒙古植物志）图版35：1-2，9A
        Nitraria sphaerocarpa Maxim. in Mel. Biol Acad. Sci. Perersb. 11: 657. 1883; idem Enum. Pl. Mongol. 122. 1889; Bobr. in Coa. Boт. 14 (1): 26. 1946; 治沙研究7: 2. 1965; 内蒙古植物志4: 17. 1979; 中国沙漠植物志 2: 304. 1987; 内蒙古植物志 (二版) 3: 304. 1989.
        灌木，枝平卧，长25-50厘米，弯，不孕枝先端刺针状，嫩枝白色。叶近无柄，2-3片簇生，条形或倒披针状条形，全缘，长5-25毫米，宽2-4毫米，先端稍锐尖或钝。花序长2-4厘米，被短柔毛，黄灰色；花梗长1-5毫米；萼片5，绿色，被柔毛；花瓣白色，长约2毫米。果未熟时披针形，先端渐尖，密被黄褐色柔毛，成熟时外果皮干膜质，膨胀成球形，果径约1厘米；果核狭纺锤形，长6-8毫米，先端渐尖，表面具蜂窝状小孔。花期5-6月，果期6-7月。
        分布于内蒙古西部、甘肃河西、新疆。生于戈壁、山前平原和砾质平坦沙地，极耐干旱。蒙古也有分布。模式标本产于我国哈密戈壁，存圣彼得堡。"
红砂	"1.红砂属——Reaumuria Linn.
    Linn. Syst. Nat. ed. 10, 2: 1081, 1374. 1759: Maxim. Fl. Tangut. 1: 97.1889. ——Hololachne Ehrb. in Linnaea 2: 273. 1827,“Hololachna”.
    半灌木或灌木，高达80厘米，有多数曲拐的小枝。叶细小，鳞片状，短圆柱形或线形，全缘，常为肉质或革质，几无柄，有泌盐腺体；花单生于侧枝上或生于缩短的小枝上，或集成稀疏的总状花序状。花两性，5数；苞片覆瓦状排列，较花冠略长或略短；花萼近钟形，宿存；花瓣脱落或宿存，下半部内侧具2枚鳞片状附属物，边缘繸状撕裂，锯齿状或全缘，雄蕊，5-多数，分离或花丝基部合生成5束，与花瓣对生；雌蕊1，子房圆形或广椭圆形，花柱3-5。蒴果软骨质，3-5瓣裂；种子全面被褐色长毛。
    共12种，主要分布在亚洲大陆、南欧和北非。生于荒漠、半荒漠和干旱草原区域内。
我国有4种。
    属模式种: R. vermiculata Linn."
小叶锦鸡儿	"40. 小叶锦鸡儿（中国主要植物图说?豆科）雪里洼（内蒙古昭乌达盟），乌禾日一哈日嘎纳、阿拉他嘎纳（蒙）
    Caragana microphylla Lam. Encycl. 1: 615. 1783; Kom. in Acta Hort. Petrop. 29: 344. 1909; Pojark. in Kom. Fl. USSR 11: 367. 1945; 中国主要植物图说?豆科355. 图351.1955; 中国高等植物图鉴2: 412. 图2553. 1972; 内蒙古植物志3: 175. 图89 (1-9). 1977; 秦岭植物志1 (3): 47. 1981; 中国沙漠植物志2: 228. 1987.
    灌木，高1-2（3）米；老枝深灰色或黑绿色，嫩枝被毛，直立或弯曲。羽状复叶有5-10对小叶；托叶长1.5-5厘米，脱落；小叶倒卵形或倒卵状长圆形，长3-10毫米，宽2-8毫米，先端圆或钝，很少凹入，具短刺尖，幼时被短柔毛。花梗长约1厘米，近中部具关节，被柔毛；花萼管状钟形，长9-12毫米，宽5-7毫米，萼齿宽三角形；花冠黄色，长约25毫米，旗瓣宽倒卵形，先端微凹，基部具短瓣柄，翼瓣的瓣柄长为瓣片的1/2，耳短，齿状；龙骨瓣的瓣柄与瓣片近等长，耳不明显，基部截平；子房无毛。荚果圆筒形，稍扁，长4-5厘米，宽4-5毫米，具锐尖头。花期5-6月，果期7-8月。
    产东北、华北及山东、陕西、甘肃。生于固定、半固定沙地。蒙古、原苏联也有。
    枝条可做绿肥；嫩枝叶可做饲草。固沙和水土保持植物。
    本种分布广，形态变化多。V. L. Komarov 曾定过5个变型：
    毛序锦鸡儿（变型）
    f. pallasiana Kom.
    花序被伏贴柔毛，后期毛脱落。
    绿叶锦鸡儿（变型）
    f. viridis Kom.
    小叶、花序绿色；小叶上面近无毛，下面被伏贴疏柔毛，花萼边缘无毛。
    兴安锦鸡儿（变型）
    f. daurica Kom.
    小叶长楔状长圆形，先端圆或截平，绿色，疏被柔毛。
    灰叶锦鸡儿（变型）
    f. cinerea Kom
    小叶密被绢状柔毛；花萼外面被短绒毛。
    毛枝锦鸡儿（变型）
    f. tomentosa Kom.
    小叶锐尖，倒披针形，小枝嫩时密被绒毛，白色。
    以上变型不易区分。尤以近年来各地区互相引种栽培，常与柠条锦鸡儿 C. korshinskii Kom. 和中间锦鸡儿 C. intermedia Kuang et H. C. Fu 混杂，杂交变化较多，有待深入研究。"
差巴嘎蒿	
